1.0.0.0/24,15169
1.0.4.0/24,56203
1.0.5.0/24,56203
1.0.6.0/24,56203
1.0.7.0/24,56203
1.0.11.0/24,18046
1.0.12.0/24,18046
1.0.13.0/24,18046
1.0.20.0/23,2519
1.0.22.0/23,2519
1.0.24.0/23,2519
1.0.26.0/23,2519
1.0.28.0/22,2519
1.0.38.0/24,24155
1.0.41.0/24,24155
1.0.42.0/24,24155
1.0.43.0/24,24155
1.0.44.0/24,24155
1.0.45.0/24,24155
1.0.46.0/24,24155
1.0.47.0/24,24155
1.0.48.0/24,24155
1.0.64.0/18,18144
1.0.128.0/17,9737
1.0.128.0/18,9737
1.0.128.0/19,9737
1.0.129.0/24,23969
1.0.130.0/24,23969
1.0.131.0/24,23969
1.0.138.0/24,23969
1.0.139.0/24,23969
1.0.142.0/23,23969
1.0.160.0/19,9737
1.0.192.0/18,9737
1.0.192.0/19,9737
1.0.192.0/21,23969
1.0.204.0/22,23969
1.0.208.0/22,23969
1.0.212.0/23,23969
1.0.224.0/19,9737
1.1.1.0/24,15169
1.1.32.0/24,58730
1.1.33.0/24,58730
1.1.34.0/24,58730
1.1.45.0/24,58730
1.1.64.0/19,2519
1.1.117.0/24,2519
1.1.118.0/24,2519
1.1.119.0/24,2519
1.1.120.0/24,2519
1.1.121.0/24,2519
1.1.122.0/24,2519
1.1.123.0/24,2519
1.1.124.0/24,2519
1.1.125.0/24,2519
1.1.126.0/24,2519
1.1.127.0/24,2519
1.1.128.0/17,9737
1.1.176.0/22,23969
1.1.180.0/24,23969
1.1.181.0/24,23969
1.1.254.0/23,23969
1.2.0.0/24,58730
1.2.1.0/24,58730
1.2.3.0/24,15169
1.2.4.0/24,24151
1.2.16.0/24,18046
1.2.128.0/17,9737
1.2.128.0/18,9737
1.2.128.0/19,9737
1.2.160.0/19,9737
1.2.173.0/24,23969
1.2.174.0/24,23969
1.2.179.0/24,23969
1.2.180.0/24,23969
1.2.183.0/24,23969
1.2.192.0/18,9737
1.2.192.0/19,9737
1.2.224.0/19,9737
1.3.0.0/24,18046
1.3.10.0/24,24155
1.3.11.0/24,24155
1.3.12.0/24,24155
1.3.30.0/24,23456
1.3.31.0/24,23456
1.3.32.0/20,23456
1.3.48.0/24,23456
1.3.49.0/24,23456
1.3.50.0/24,23456
1.4.128.0/17,9737
1.4.128.0/18,9737
1.4.128.0/19,9737
1.4.160.0/19,9737
1.4.192.0/18,9737
1.4.192.0/19,9737
1.4.206.0/23,23969
1.4.208.0/24,23969
1.4.209.0/24,23969
1.4.210.0/23,23969
1.4.212.0/22,23969
1.4.224.0/19,9737
1.5.0.0/16,4725
31.57.144.0/20,31549
31.57.160.0/20,31549
31.57.176.0/20,31549
31.57.192.0/20,31549
31.57.208.0/20,31549
31.57.224.0/20,31549
31.57.240.0/20,31549
31.58.0.0/19,31549
31.58.32.0/19,31549
31.58.64.0/19,31549
31.58.96.0/19,31549
31.58.128.0/19,31549
31.58.160.0/19,31549
31.58.192.0/19,31549
31.58.224.0/19,31549
31.59.0.0/20,31549
31.59.16.0/20,31549
31.59.32.0/20,31549
31.59.48.0/20,31549
31.59.64.0/20,31549
31.59.80.0/20,31549
31.59.96.0/20,31549
31.59.112.0/20,31549
31.59.128.0/20,31549
31.59.144.0/20,31549
31.59.160.0/20,31549
31.59.176.0/20,31549
31.59.192.0/20,31549
31.59.208.0/20,31549
31.59.224.0/20,31549
31.59.240.0/20,31549
31.60.0.0/14,5617
31.61.128.0/21,5617
31.64.0.0/11,12576
31.64.0.0/13,12576
31.72.0.0/13,12576
31.80.0.0/13,12576
31.88.0.0/13,12576
31.96.0.0/11,12576
31.116.0.0/15,12576
31.118.0.0/15,12576
31.120.0.0/15,12576
31.122.0.0/15,12576
31.124.0.0/15,12576
31.128.0.0/20,56515
31.128.16.0/21,56515
31.128.24.0/21,56515
31.128.32.0/21,49055
